"deposit_timestamp","transaction_hash","origin_chain_id","destination_chain_id","deposit_id","depositor_address","recipient_address","input_token_address","input_token_symbol","output_token_address","output_token_symbol","input_amount","output_amount"
"2025-12-03 14:28:47+01","0xc29a5f330048edbb865013acab76d588c847820ec161e812ac90b1f478afadb2",1,"137","3472071","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","950.98617","9.50814487e-10"
"2025-12-03 14:39:23+01","0x9cc17972d44a6164fb7817e0441f9bb42f0d3726120884615d62ba4343a64379",1,"137","3472096","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","148.95","1.48881444e-10"
"2025-12-03 15:33:59+01","0xf8b744fc811c37c2488dfe450699620fdc67a3ea27009f2d20e9a154e8d2d921",1,"137","3472256","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","4965","4.964356255e-09"
"2025-12-03 15:54:47+01","0x5e991bfe542991e4a3bf29bf5ea05ecaefd7b0540c77f2cddd828fca734e6417",1,"137","3472327","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","1390.2","1.390003902e-09"
"2025-12-03 15:58:47+01","0x7ece9d7c1aa5f2832c75944c3d42191b7df4fc0fc196a1a652a54946ea9a5293",1,"137","3472339","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","5372.13","5.371459008e-09"
"2025-12-03 16:01:59+01","0xb676b698d32cb4c6b59091789d7c6d1c9f96563e7df68574cf936597ef35275c",1,"137","3472346","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","113.202","1.1316071e-10"
"2025-12-03 16:29:47+01","0x946ab95390e2716a3eccab707cd84887815f63f38b090cb9136c397e72052a2c",1,"137","3472454","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","138.906532","1.38867544e-10"
"2025-12-03 16:42:59+01","0x95296efeb9fec44d6c34c426eeb325e9fe7cc94d02a925a60fa6c6789c440b24",1,"137","3472491","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","263.145","2.63092169e-10"
"2025-12-03 16:46:11+01","0x918f3ef94b89295d0db570bebc025c03e1b71a064d2b39febc091df4382318f3",1,"137","3472500","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","4965.000652","4.964384846e-09"
"2025-12-03 17:31:59+01","0xc692d6590049d312dc174935c308fd638a5b5cdb1f89f9b652dc7a59f7801b39",1,"137","3472616","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","297.9","2.97847834e-10"
